pricing,bed,bath,sqft,plot_size,address,PublicSymbol,PrivateSymbol
"$3,700,000",7,6.5,"6,185",0.76,2829 tilden st nw,NonLead,NonLead
"$1,398,500",2,2,"1,870","1,419",209 c st ne,Lead,Lead
"$409,000",3,2,"1,215","2,711",338 53rd st ne,NonLead,NonLead
"$946,000",3,3.5,"2,195","2,088",3525 hertford pl nw,NonLead,Lead
"$700,000",3,2.5,"1,672","1,605",221 rhode island ave ne,NonLead,Lead
"$874,900",4,3.5,"2,548","8,438",2537 34th st se,NonLead,NonLead
"$1,595,000",5,3.5,"2,700",833,1800 s st nw,NonLead,NonLead
"$1,750,000",5,2.5,"3,190",903,1538 t st nw,NonLead,NonLead
"$1,150,000",3,1.5,"1,540","1,967",523 10th st se,NonLead,NonLead
"$309,900",3,2,"1,184","2,911",5041 benning rd se,NonLead,NonLead
"$1,385,000",3,2,"2,172","8,662",5066 macarthur blvd nw,NonLead,NonLead
"$849,900",4,3,"1,512","1,372",5404 kansas ave nw,Lead,Lead
"$503,500",3,1.5,"1,555","1,778",2608 4th st ne,Lead,Lead
"$503,500",3,1.5,"1,555","1,778",2608 4th st ne,Lead,Lead
"$1,250,000",4,2.5+,"3,012","4,903",1530 locust rd nw,NonLead,NonLead
"$875,000",3,2,"1,755","1,218",607 g st se,NonLead,NonLead
"$3,385,000",5,5.5,"3,907","5,800",3408 34th pl nw,Lead,Lead
"$1,450,000",5,4,"2,698",,31 r st nw,Lead,Lead
"$649,900",5,,"1,492","1,200",1017 florida ave ne,NonLead,Lead
"$2,150,000",4,4,"3,416","1,800",1303 corcoran st nw,NonLead,NonLead
"$689,900",3,3.5,"2,348","1,275",3709 jamison st ne,NonLead,NonLead
"$2,900,000",4,2.5+,"2,100","3,101",300 a st se,Lead,Lead
"$2,995,900",5,4.5+,"4,594","4,750",4735 rodman st nw,NonLead,NonLead
"$6,490,000",6,6.5+,"10,500",0.82,2601 foxhall rd nw,NonLead,NonLead
"$1,950,000",6,6.5,"4,586","4,034",4303 16th st nw,NonLead,NonLead
"$925,000",3,3.5,"2,154","1,968",507 lamont st nw,Lead,Lead
"$1,148,500",3,2.5,"1,576","1,600",1121 c st ne,Lead,Lead
"$1,495,000",7,6.5,"5,934","5,400",3401 lowell st nw,Lead,Lead
"$5,100,000",6,7.5,"6,545",0.52,4435 cathedral ave nw,NonLead,NonLead
"$975,000",16,4.5+,,"6,935",508 58th st ne,NonLead,NonLead
"$950,000",11,2,"3,834","3,565",4602 hillside rd se,NonLead,NonLead
"$449,999",3,3.5,"1,412",640,140 danbury st sw,Lead,Lead
"$3,295,000",4,4.5,"4,051","9,200",4515 w st nw,NonLead,NonLead
"$1,215,000",8,,"2,800","3,557",4008 7th st ne,NonLead,NonLead
"$349,900",2,1,"1,008","3,013",315 anacostia ave ne,NonLead,NonLead
"$9,995,000",6,7.5+,"12,200",0.33,3131 chain bridge rd nw,NonLead,NonLead
"$695,000",4,3.5,"2,358","1,327",3627 hansberry ct ne,NonLead,NonLead
"$3,000,000",3,3.5,"2,839","4,698",3310 r st nw,NonLead,NonLead
"$680,000",3,1,"1,892","1,600",2114 4th st ne,NonLead,Lead
"$5,100,000",5,4.5,"5,587",0.58,4641 garfield st nw,NonLead,NonLead
"$1,385,000",2,2.5,"1,549","3,795",5212 macarthur blvd nw,Lead,Lead
"$1,439,500",4,4.5,"3,532","1,613",4505 15th st nw,Lead,Lead
"$449,900",3,2,"1,380","2,420",5084 just st ne,NonLead,NonLead
"$1,179,000",4,3.5,"2,146","1,020",163 u st nw,NonLead,NonLead
"$6,694,500",6,6.5+,"7,716",0.26,2838 chesterfield pl nw,NonLead,NonLead
"$810,000",Studio,,"2,999","4,335",1400 hamilton st nw,NonLead,NonLead
"$899,000",4,3.5,"1,620","1,620",917 delafield pl nw,Lead,Lead
"$599,000",12,6,"2,652","4,275",2916 2nd st se,NonLead,NonLead
"$689,000",4,2,"1,832","4,151",1508 montana ave ne,NonLead,NonLead
"$3,650,000",6,5.5,"5,976","2,750",2117 leroy pl nw,NonLead,NonLead
"$1,350,000",3,3,"2,010",973,318 7th st ne,NonLead,NonLead
"$275,000",2,1.5,"1,054","1,998",504 45th st ne,NonLead,NonLead
"$424,900",4,,"1,184","1,899",529 59th st ne,NonLead,NonLead
"$500,000",4,3.5,"1,788","2,040",928 perry pl ne,NonLead,NonLead
"$2,550,000",5,4.5,"3,040","9,375",3811 fulton st nw,NonLead,NonLead
"$7,500,000",Studio,1.5+,"9,091","4,228",1816 jefferson pl nw,NonLead,NonLead
"$890,000",4,3.5,"2,176","1,637",1508 d st ne,NonLead,NonLead
"$375,000",3,2,"1,390","3,194",4243 dix st ne,NonLead,Lead
"$1,349,900",4,3.5+,"2,500","2,332",64 bryant st nw,NonLead,Lead
"$2,425,000",4,3.5,"4,044","8,312",4014 linnean ave nw,NonLead,NonLead
"$549,000",3,1,"1,850","1,400",617 longfellow st nw,NonLead,Lead
"$699,900",3,2,"1,120","1,239",1521 1st st sw,NonLead,NonLead
"$3,575,000",6,6.5+,"8,082","3,949",2735 cathedral ave nw,NonLead,NonLead
"$5,300,000",6,5.5,"5,356","8,062",1406 34th st nw,NonLead,NonLead
"$685,000",7,4,"2,320","2,243",724 rock creek church rd nw,NonLead,Lead
"$1,199,999",4,3,"2,997","5,750",1431 holly st nw,NonLead,NonLead
"$909,900",12,,"4,700","2,400",1609 t st se,NonLead,NonLead
